Case name,Alt name,source URL,summary,summary / issue,category,date (m),year,month as number,Meta...,The Board...,principle,outcome,note,no of user complaints (if listed),full abstract ,FB category,Controversy (relates to no. of google news stories),click-through link,ID,date
Mention of the Taliban in News Reporting,Praising the Taliban,https://oversightboard.com/decision/FB-U2HHA647/,"A post reported a positive announcement from the Taliban about women and girls' education was removed for in some way ""praising"" the Taliban.","A post reported that Zabiullah Mujahid, a member of the Taliban regime in Afghanistan and its official central spokesperson, had announced that schools for women and girls would reopen in March 2022.",Dangerous individuals / organisations,Jan,2022,1,"removed post because the policy prohibits ""praise"" of entities deemed to ""engage in serious offline harms"" including terrorist orgs. Meta eventually decided post should not have been removed because its rules allow ""reporting on"" terrorist orgs",overturned,"CS permits content that ""reports on"" dangerous orgs.",Post was restored,,6,"The Oversight Board has overturned Meta's original decision to remove a Facebook post from a news outlet Page reporting a positive announcement from the Taliban regime in Afghanistan on women and girls' education. Removing the post was inconsistent with Facebook's Dangerous Individuals and Organisations Community Standard, which permits reporting on terrorist groups and Meta's human rights responsibilities. The Board found that Meta should better protect users' freedom of expression when it comes to reporting on terrorist regimes and makes policy recommendations to help achieve this.

About the case

In January 2022, a popular Urdu-language newspaper based in India posted on its Facebook Page. The post reported that Zabiullah Mujahid, a member of the Taliban regime in Afghanistan and its official central spokesperson, had announced that schools and colleges for women and girls would reopen in March 2022. The post linked to an article on the newspaper's website and was viewed around 300 times.

Meta found that the post violated the Dangerous Individuals and Organisations policy, which prohibits ""praise"" of entities deemed to ""engage in serious offline harms"", including terrorist organisations. Meta removed the post, imposed ""strikes"" against the Page administrator who had posted the content and limited their access to certain Facebook features (such as going live on Facebook).

The user appealed, and after a second human reviewer assessed the post as violating, it was placed in a queue for the high-impact false positive override (HIPO) system. HIPO is a system that Meta uses to identify cases where it has acted incorrectly, for example, by wrongly removing content. However, as there were fewer then 50 Urdu-speaking reviewers allocated to HIPO at the time, and the post was not deemed high priority, it was never reviewed in the HIPO system.

After the Board selected the case, Meta decided that the post should not have been removed, as its rules allow ""reporting on"" terrorist organisations. It restored the content, reversed the strike and removed the restrictions on the user's account.",Dangerous Individuals and Organisations,50,https://oversightboard.com/decision/FB-U2HHA647/,34,Jan 2022
Russian Poem,Russian army fascists,https://oversightboard.com/decision/FB-MBGOTVN8/,A post comparing the Russian army in Ukraine to Nazis was removed.,A FB post comparing the Russian army in Ukraine to Nazis and quoting a poem that calls for the killing of fascists.,Hate Speech,April,2022,4,"removed post because the imagery and the poem it quoted, reading ""kil the fascist... Kill him! Kill him! Kill!"" – Because of the violence, it claimed that the hate speech CS was violated. It then applied a warning screen under the image due to violent and grapic content policy",overturned,"they say the post argues that the soldiers acted like Nazis, drawing historical parallels. It urges the importance of context - the poem ""Kill Him!"" was an artistic and cultural reference employed as a rhetorical device. They also found the image does not include clear indicators of violence",Post was restored,,8,"The Oversight Board has overturned Meta's original decision to remove a Facebook post comparing the Russian army in Ukraine to Nazis and quoting a poem that calls for the killing of fascists. It has also overturned Meta's finding that an image of what appears to be a dead body in the same post violated the Violent and Graphic Content policy. Meta had applied a warning screen to the image on the grounds that it violated the policy. This case raises some important issues about content moderation in conflict situations.

About the case

In April 2022, a Facebook user in Latvia posted an image of what appears to be a dead body, face down, in a street. No wounds are visible. Meta confirmed to the Board that the person was shot in Bucha, Ukraine.

The Russian text accompanying the image argues that the alleged atrocities that Soviet soldiers committed in Germany in World War II were excused on the basis that they avenged the crimes that Nazi soldiers had committed in the USSR. It draws a connection between the Nazi army and the Russian army in Ukraine, saying the Russian army ""became fascist"".

The post cites alleged atrocities committed by the Russian army in Ukraine and says that ""after Bucha, Ukrainians will also want to repeat... and will be able to repeat"". It ends by quoting the poem ""Kill him!"" by Soviet poet Konstantin Simonov, including the lines: ""kill the fascist... Kill him! Kill him! Kill!""

The post was reported by another Facebook user and removed by Meta for violating its Hate Speech Community Standard. After the Board selected the case, Meta found that it had wrongly removed the post and restored it. Three weeks later, it applied a warning screen to the image under its Violent and Graphic Content policy.",Hate Speech,100,https://oversightboard.com/decision/FB-MBGOTVN8/,32,April 2022
UK Drill Music,UK Police vs Drill Music,https://oversightboard.com/decision/IG-PT5WRTLW/,"A UK drill music clip with a potential ""veiled threat"" was removed.",A UK drill music clip posted to instagram contained a potential veiled threat by referencing a shooting in 2017. The video was removed as the threat could incite further violence.,Violence / Incitement / Graphic Content,Jan,2022,1,"removed post because it contained a track ""Secrets Not Safe"" that had lyrics they (with information provided by the Metropolitan Police) determined a ""veiled threat"" that referenced and could exacerbate gang violence",overturned,lacked evidence to conclude content contained a credible threat – Meta should have given more weight to artistic nature of content,Post was restored,"This case raises concerns about Meta's relationships with governments, particularly where law enforcement requests lead to lawful content being reviewed against the Community Standards and removed. While law enforcement can sometimes provide context and expertise, not every piece of content that law enforcement would prefer to have taken down should be taken down.",10,"The Oversight Board has overturned Meta's decision to remove a UK drill music video clip from Instagram. Meta originally removed the content following a request from the Metropolitan Police. This case raises concerns about Meta's relationships with law enforcement, which has the potential to amplify bias. The Board makes recommendations to improve respect for due process and transparency in these relationships.

About the case

In January 2022, an Instagram account that describes itself as publicising British music posted content highlighting the release of the UK drill music track, ""Secrets Not Safe"" by Chinx (OS), including a clip of the track's music video.

Shortly after, the Metropolitan Police, which is responsible for law enforcement in Greater London, emailed Meta requesting that the company review all content containing ""Secrets Not Safe"". Meta also received additional context from the Metropolitan Police. According to Meta, this covered information on gang violence, including murders, in London, and the Police's concern that the track could lead to further retaliatory violence.

Meta's specialist teams reviewed the content. Relying on the context provided by the Metropolitan Police, they found that it contained a ""veiled threat"", by referencing a shooting in 2017, which could potentially lead to further violence. The company removed the content from the account under review for violating its violence and incitement policy. It also removed 52 pieces of content containing the track ""Secrets Not Safe"" from other accounts, including Chinx (OS)'s. Meta's automated systems later removed the content another 112 times.

Meta referred this case to the Board. The Board requested that Meta also refer Chinx (OS)'s post of the content. However, Meta said that this was impossible as removing the ""Secrets Not Safe"" video from Chinx (OS)'s account ultimately led to the account being deleted, and its content was not preserved.",Violence and Incitement,200,https://oversightboard.com/decision/IG-PT5WRTLW/,31,Jan 2022
Video After Nigeria Church Attack,Owo church massacre,https://oversightboard.com/decision/IG-OZNR5J1Z/,A video showing the aftermath of a terrorist attack in NIgeria was first warning-screened then removed.,"An Instagram video showing bodies following a terrorist attack in Nigeria was posted the day of the attack. In southwest Nigeria, 40 people were killed and injured, a video of the aftermath of this terrorist attack was posted to instagram with a caption referencing firearm collectors, gunfire sounds and ""airsoft"".",Violence / Incitement / Graphic Content,June,2022,6,"first applied a warning screen (user not warned) then user added a caption that included references to firearms. Media Matching Service bank detected the post and removed it, which was upheld by a human reviewer. They said the hashtags could be read as glorifying violence / minimising the suffering of victims",overturned,"found the post was non-violating. The Nigerian government censors the coverage of ongoing terrorist attacks. They do agree a warning screen is necessary. The hashtags raise awareness, not mock.","Post was restored with a ""disturbing content"" warning screen",,9,"The Board has overturned Meta's decision to remove a video from Instagram showing the aftermath of a terrorist attack in Nigeria. The Board found that restoring the post with a warning screen protects victims' privacy while allowing for discussion of events that some states may seek to suppress.

About the case

On 5 June 2022, an Instagram user in Nigeria posted a video showing motionless, bloodied bodies on the floor. It appears to be the aftermath of a terrorist attack on a church in southwest Nigeria, in which at least 40 people were killed and many more injured. The content was posted on the same day as the attack. Comments on the post included prayers and statements about safety in Nigeria.

Meta's automated systems reviewed the content and applied a warning screen. However, the user was not alerted as Instagram users do not receive notifications when warning screens are applied.

The user later added a caption to the video. This described the incident as ""sad"", and used multiple hashtags, including references to firearms collectors, allusions to the sound of gunfire and the live-action game ""airsoft"" (where teams compete with mock weapons). The user had included similar hashtags on many other posts.

Shortly after, one of Meta's Media Matching Service banks, an ""escalations bank"", identified the video and removed it. Media Matching Service banks can automatically match users' posts to content that has previously been found violating. Content in an ""escalations bank"" has been found violating by Meta's specialist internal teams. Any matching content is identified and immediately removed.

The user appealed the decision to Meta and a human reviewer upheld the removal. The user then appealed to the Board.

When the Board accepted the case, Meta reviewed the content in the ""escalations bank"", found that it was non-violating and removed it. However, it upheld its decision to remove the post in this case, saying that the hashtags could be read as ""glorifying violence and minimising the suffering of the victims"". Meta found that this violates multiple policies, including the Violent and Graphic Content policy, which prohibits sadistic remarks.",Violent and Graphic Content,100,https://oversightboard.com/decision/IG-OZNR5J1Z/,30,June 2022
Iran Protest Slogan,Should Iranian protest slogans be allowed?,https://oversightboard.com/decision/FB-ZT6AJS4X/,"A post protesting the Iranian government saying ""death to Khamenei"" was removed.","A FB post in a group calling for freedom for Iran protested the Iranian government with a cartoon depicting Iran's Supreme Leader with a fist grasping a chained, blindfolded woman wearing a hijab , containing the slogan ""marg bar Khamenei"" (""death to Khamenei).",Violence / Incitement / Graphic Content,July,2022,7,"removed the post and limited account for 30 days because ""marg bar"" directly translates to ""death to"" – this violates violance and incitement CS. It was later restored with a newsworthiness allowance",overturned,"""marg bar"" rhetorically means ""down with"" especially in the context of a protest – post should not have been removed, Board calls for context",,,162,"The Oversight Board has overturned Meta's original decision to remove a Facebook post protesting the Iranian government, which contains the slogan ""marg bar... Khamenei"". This literally translates as ""death to Khamenei"" but is often used as political rhetoric to mean ""down with Khamenei"". The Board has made recommendations to better protect political speech in critical situations, such as that in Iran, where historic, widespread protests are being violently suppressed. This includes permitting the general use of ""marg bar Khamenei"" during protests in Iran.

About the case

In July 2022, a Facebook user posted in a group that describes itself as supporting freedom for Iran. The post contains a cartoon of Iran's Supreme Leader, Ayatollah Khamenei, in which his beard forms a fist grasping a chained, blindfolded woman wearing a hijab. A caption below in Farsi states ""marg bar"" the ""anti-women Islamic government"" and ""marg bar"" its ""filthy leader Khamenei"".

The literal translation of ""marg bar"", is ""death to"". However, it is also used rhetorically to mean ""down with"". The slogan ""marg bar Khamenei"" has been used frequently during protests in Iran over the past five years, including the 2022 protests. The content in this case was posted days before Iran's ""National Day of Hijab and Chastity"", around which critics frequently organise protests against the government, including against Iran's compulsory hijab laws. In September 2022, Jina Mahsa Amini died in police custody in Iran, following her arrest for ""improper hijab"". Her death sparked widespread protests which have been violently suppressed by the state. This situation was ongoing as the Board deliberated this case.

After the post was reported by a user, a moderator found that it violated Meta's Violence and Incitement Community Standard, removed it, and applied a ""strike"" and two ""feature limits"" to its author's account. The feature limits imposed restrictions on creating content and engaging with groups for seven and 30 days respectively. The post's author appealed to Meta, but the company's automated systems closed the case without review. They then appealed to the Board.

After the Board selected the case, Meta reviewed its decision. It maintained that the content violated the Violence and Incitement Community Standard but applied a newsworthiness allowance and restored the post. A newsworthiness allowance permits otherwise violating content if the public interest outweighs the risk of harm.",Violence and Incitement,200,https://oversightboard.com/decision/FB-ZT6AJS4X/,28,July 2022
Knin Cartoon,A slur about ethnic Serbians,https://oversightboard.com/decision/FB-JRQ1XP2M/,A Facebook post depicted ethnic Serbs as rats was not removed.,A facebook post of an edited version of Disney's cartoon of 'The Pied Piper' was removed. The cartoon depicted ethnic Serbs as rats.,Hate Speech,Dec,2021,12,"decided the post did not violate Hate Speech because the rat association was implicit, rather than explicit",overturned,"comparing ethnic groups to animals, even implicitly = hate speech, dehumanizing",post was removed," While Meta informed the 397 users who reported the post of its initial decision that the content did not violate its policies, the company did not tell these users that it later reversed this decision",397," The Oversight Board has overturned Meta’s original decision to leave a post on Facebook which depicted ethnic Serbs as rats. While Meta eventually removed the post for violating its Hate Speech policy, about 40 moderators had previously decided that the content did not violate this policy. This suggests that moderators consistently interpreted the Hate Speech policy as requiring them to identify an explicit, rather than implicit, comparison between ethnic Serbs and rats before finding a violation. 

About the case

 In December 2021, a public Facebook page posted an edited version of Disney’s cartoon “The Pied Piper,” with a caption in Croatian which Meta translated as “The Player from Čavoglave and the rats from Knin.” 

 The video portrays a city overrun by rats. While the entrance to the city in the original cartoon was labelled “Hamelin,” the city in the edited video is labelled as the Croatian city of “Knin.” The narrator describes how the rats decided they wanted to live in a “pure rat country,” so they started harassing and persecuting the people living in the city. 

 The narrator continues that, when the rats took over the city, a piper from the Croatian village of Čavoglave appeared. After playing a melody on his “magic flute,” the rats start to sing “their favorite song” and follow the piper out of the city. The song’s lyrics commemorate Momčilo Dujić, a Serbian Orthodox priest who was a leader of Serbian resistance forces during World War II. 

 The piper herds the rats into a tractor, which then disappears. The narrator concludes that the rats “disappeared forever from these lands” and “everyone lived happily ever after.” 

 The content in this case was viewed over 380,000 times. While users reported the content to Meta 397 times, the company did not remove the content. After the case was appealed to the Board, Meta conducted an additional human review, finding, again, that the content did not violate its policies. 

 In January 2022, when the Board identified the case for full review, Meta decided that, while the post did not violate the letter of its Hate Speech policy, it did violate the spirit of the policy, and removed the post from Facebook. Later, when drafting an explanation of its decision for the Board, Meta changed its mind again, concluding that the post violated the letter of the Hate Speech policy, and all previous reviews were in error. 

 While Meta informed the 397 users who reported the post of its initial decision that the content did not violate its policies, the company did not tell these users that it later reversed this decision. ",Hate Speech,50,https://oversightboard.com/decision/FB-JRQ1XP2M/,26,Dec 2021
Pro-Navalny Protests in Russia,"""Cowardly bot""",https://oversightboard.com/decision/FB-6YHRXHZR/,"A comment calling a user a ""cowardly bot"" for criticizing Navalny support was removed.","A Russian user responded to a comment made by a Protest Critic on his pro-Navalny post by calling the critic a ""cowardly adult,"" he was reported, the post was removed by FB",Bullying & Harassment,Jan,2021,1,Determined the comment violated the bullying and harassment policy and removed the comment,overturned,"while the term ""cowardly"" was a negative character claim, FB did not consider the political context, public character, or heated tone of the conversation. This failed to protect the protestor's voice",post was restored,,23,"The Oversight Board has overturned Facebook's decision to remove a comment in which a supporter of imprisoned Russian opposition leader Alexei Navalny called another user a ""cowardly bot"". Facebook removed the comment for using the word ""cowardly"", which was construed as a negative character claim. The Board found that while the removal was in line with the Bullying and Harassment Community Standard, the current Standard was an unnecessary and disproportionate restriction on free expression under international human rights standards. It was also not in line with Facebook's values.

About the case

On 24 January, a user in Russia made a post consisting of several pictures, a video and text (root post) about the protests in support of opposition leader Alexei Navalny held in Saint Petersburg and across Russia on 23 January. Another user (the Protest Critic) responded to the root post and wrote that, while they did not know what happened in Saint Petersburg, the protesters in Moscow were all school children, mentally ""slow"", and were ""shamelessly used"".

Other users then challenged the Protest Critic in subsequent comments to the root post. A user who was at the protest (the Protester) appeared to be the last to respond to the Protest Critic. They claimed to be elderly and to have participated in the protest in Saint Petersburg. The Protester ended the comment by calling the Protest Critic a ""cowardly bot"".

The Protest Critic then reported the Protester's comment to Facebook for bullying and harassment. Facebook determined that the term ""cowardly"" was a negative character claim against a ""private adult"" and, as the ""target"" of the attack had reported the content, Facebook removed it. The Protester appealed against this decision to Facebook. Facebook determined that the comment violated the Bullying and Harassment Policy, under which a private individual can get Facebook to take down posts containing a negative comment on their character.",Bullying and Harassment,50,https://oversightboard.com/decision/FB-6YHRXHZR/,23,Jan 2021
Öcalan's Isolation,"The human rights of a ""dangerous person""",https://oversightboard.com/decision/IG-I9DP23IB/,An Instagram post discussing Abdullah Öcalan's solitary confinement was removed.,"An Instagram user in the US posted a photo of Abdullah Öcalan, a founding member of the PKK, with a caption that asked users to talk about his imprisonment and the inhumane nature of solitary confinement.",Dangerous individuals / organisations,Jan,2021,1,The post was removed because Öcalan is designated as a dangerous entity under FB's CS. This decision was upheld by 2x moderators.,overturned,"While Öcalan is dangerous, the CS specify that users can discuss the conditions of confinement of a 'dangerous' individual.",post was restored,"After the Board selected this case and assigned it to panel, Facebook found that a piece of internal guidance on the Dangerous Individuals and Organisations policy was ""inadvertently not transferred"" to a new review system in 2018. This guidance, developed in 2017 partly in response to concern about the conditions of Öcalan's imprisonment, allows discussion on the conditions of confinement for individuals designated as dangerous.",12,"The Oversight Board has overturned Facebook's original decision to remove an Instagram post encouraging people to discuss the solitary confinement of Abdullah Öcalan, a founding member of the Kurdistan Workers' Party (PKK). After the user appealed and the Board selected the case for review, Facebook concluded that the content was removed in error and restored it. The Board is concerned that Facebook misplaced an internal policy exception for three years and that this may have led to many other posts being wrongly removed.

About the case

This case relates to Abdullah Öcalan, a founding member of the PKK. This group has used violence in seeking to achieve its aim of establishing an independent Kurdish state. Both the PKK and Öcalan are designated as dangerous entities under Facebook's Community Standard on dangerous individuals and organisations.

On 25 January 2021, an Instagram user in the United States posted a picture of Öcalan, which included the words ""y'all ready for this conversation"" in English. In a caption, the user wrote that it was time to talk about ending Öcalan's isolation in prison on Imrali island in Turkey. The user encouraged readers to engage in conversation about Öcalan's imprisonment and the inhumane nature of solitary confinement.

After being assessed by a moderator, the post was removed on 12 February under Facebook's rules on dangerous individuals and organisations as a call to action to support Öcalan and the PKK. When the user appealed this decision, they were told that their appeal could not be reviewed because of a temporary reduction in Facebook's review capacity due to COVID-19. However, a second moderator did carry out a review of the content and found that it violated the same policy. The user then appealed to the Oversight Board.

After the Board selected this case and assigned it to panel, Facebook found that a piece of internal guidance on the Dangerous Individuals and Organisations policy was ""inadvertently not transferred"" to a new review system in 2018. This guidance, developed in 2017 partly in response to concern about the conditions of Öcalan's imprisonment, allows discussion on the conditions of confinement for individuals designated as dangerous.

In line with this guidance, Facebook restored the content to Instagram on 23 April. Facebook told the Board that it is currently working on an update to its policies to allow users to discuss the human rights of designated dangerous individuals. The company asked the Board to provide insight and guidance on how to improve these policies. While Facebook updated its Community Standard on dangerous individuals and organisations on 23 June 2021, these changes do not directly affect the guidance that the company requested from the Board.",Dangerous Individuals and Organisations,75,https://oversightboard.com/decision/IG-I9DP23IB/,22,Jan 2021
Myanmar Bot,A slur against the Chinese government,https://oversightboard.com/decision/FB-ZWQUPZLZ/,A post in Burmese using offensive language referring to Chinese people was removed.,"A Facebook post in Myanmar discussed ways to limit financing the Myanmar military following the Feb 2021 coup. Part of the post mentioned ""the fucking Chinese"" and was removed",Hate Speech,April,2021,4,"The post used the phrase ""fucking Chinese"" (""sout ta-yote"" in Burmese). The word ""ta-yote"" overlaps between China the country and Chinese people. FB argued it referred to Chinese people and removed it.",overturned,"the post did not target Chinese people, but the Chinese state, using profanity to reference governmental policy in HK – the context was missing fromt he FB argument",post was restored,,10,"The Oversight Board has overturned Facebook's decision to remove a post in Burmese under its Hate Speech Community Standard. The Board found that the post did not target Chinese people, but the Chinese state. Specifically, it used profanity to reference Chinese governmental policy in Hong Kong as part of a political discussion on the Chinese government's role in Myanmar.

About the case

In April 2021, a Facebook user who appeared to be in Myanmar posted in Burmese on their timeline. The post discussed ways to limit financing to the Myanmar military following the coup in Myanmar on 1 February 2021. It proposed that tax revenue be given to the Committee Representing Pyidaungsu Hluttaw (CRPH), a group of legislators opposed to the coup. The post received about half a million views and no Facebook users reported it.

Facebook translated the supposedly violating part of the user's post as ""Hong Kong people, because the fucking Chinese tortured them, changed their banking to UK and now (the Chinese), they cannot touch them."" Facebook removed the post under its Hate Speech Community Standard. This prohibits content targeting a person or group of people based on their race, ethnicity or national origin with ""profane terms or phrases with the intent to insult"".

The four content reviewers who examined the post all agreed that it violated Facebook's rules. In their appeal to the Board, the user stated that they posted the content to ""stop the brutal military regime"".",Hate Speech,50,https://oversightboard.com/decision/FB-ZWQUPZLZ/,21,April 2021
Shared Al Jazeera Post,Threat of violence from Hamas,https://oversightboard.com/decision/FB-P93JPX02/,A post sharing news about a threat of violence from Hamas' military wing was removed.,A post from Al Jazeera with text in Arabic was shared that included imagery of the Al-Qassam Brigades with text by Abu Ubaida.,Dangerous individuals / organisations,May,2021,5,"Removed the post because Al-Qasaam Brigades and Abu Ubaida are both designated as dangerous under FB Dangerous Orgs and Individuals CS. Upon review, FB revesed its decision, explaining that it did not violate the CS.",overturned,"The post did not contain praise, support, or representation of the Al-Qassam brigades or Hamas. Individuals should have a right to post news stories as much as media orgs have a right to publish them in the first place.",post was restored,This caused FB to be accused of censoring Palestinian conflict due to Israeli govt demands. They declined to get more specific about the issue.,26,"The Oversight Board agrees that Facebook was correct to reverse its original decision to remove content on Facebook that shared a news post about a threat of violence from the Izz al-Din al-Qassam Brigades, the military wing of the Palestinian group Hamas. Facebook originally removed the content under the Dangerous Individuals and Organisations Community Standard, and restored it after the Board selected this case for review. The Board concludes that removing the content did not reduce offline harm and restricted freedom of expression on an issue of public interest.

About the case

On 10 May 2021, a Facebook user in Egypt with more than 15,000 followers shared a post by the verified Al Jazeera Arabic Page consisting of text in Arabic and a photo.

The photo portrays two men in camouflage fatigues with faces covered, wearing headbands with the insignia of the Al-Qassam Brigades. The text states ""The resistance leadership in the common room gives the occupation a respite until 18:00 to withdraw its soldiers from Al-Aqsa Mosque and Sheikh Jarrah neighbourhood otherwise he who warns is excused. Abu Ubaida – Al-Qassam Brigades military spokesman"". The user shared Al Jazeera's post and added a single-word caption ""Ooh"" in Arabic. The Al-Qassam Brigades and their spokesperson Abu Ubaida are both designated as dangerous under Facebook's Dangerous Organisations and Individuals Community Standard.

Facebook removed the content for violating this policy and the user appealed the case to the Board. As a result of the Board selecting this case, Facebook concluded that it had removed the content in error and restored it.",Dangerous Individuals and Organisations,75,https://oversightboard.com/decision/FB-P93JPX02/,19,May 2021
Columbia Protests,Protesting Columbia's president,https://oversightboard.com/decision/FB-E5M6QZGA/,A video of protesters in Colombia criticising of President Duque was removed.,"A post was shared that depicted a protest in Colombia. People can be heard chanting criticisms about Colombian president, President Duque.",Hate Speech,May,2021,5,"FB translated phrases in the video to ""son of a bitch"" and ""stop being a the fag on TV."" They state this violates the hate speech CS which does not allow content that ""describes or negatively targets people with slurs""",overturned,Argued that the newsworthiness allowance allows this content to be posted to protect a platform of expression for protestors,post was restored,,18,"The Oversight Board has overturned Facebook's decision to remove a post showing a video of protesters in Colombia criticising the country's president, Ivan Duque. In the video, the protesters use a word designated as a slur under Facebook's Hate Speech Community Standard. Assessing the public interest value of this content, the Board found that Facebook should have applied the newsworthiness allowance in this case.

About the case

In May 2021, the Facebook Page of a regional news outlet in Colombia shared a post by another Facebook Page without adding any additional caption. This shared post is the content at issue in this case. The original root post contains a short video showing a protest in Colombia with people marching behind a banner that says ""SOS COLOMBIA"".

The protesters are singing in Spanish and address the Colombian president, mentioning the tax reform recently proposed by the Colombian government. As part of their chant, the protesters call the president ""hijo de puta"" once and say ""deja de hacerte el marica en la tv"" once. Facebook translated these phrases as ""son of a bitch"" and ""stop being the fag on TV"". The video is accompanied by text in Spanish expressing admiration for the protesters. The shared post was viewed around 19,000 times, with fewer than five users reporting it to Facebook.",Hate Speech,75,https://oversightboard.com/decision/FB-E5M6QZGA/,18,May 2021
Wampum Belt,The Wampum Belt,https://oversightboard.com/decision/FB-L1LANIA7/,A post of a wampum belt referencing unmarked graves was removed.,"A post of a picture of a wampum belt that included a series of depictions inspired by ""the Kamloops story,"" a reference to a discovery of unmarked graves at a former residential school for Indigenous children in BC, Canada.",Hate Speech,August,2021,8,automated systems and a human reviewer removed the content for violating FB's hate speech CS due to the language used to describe the event,overturned,"the content is an example of ""counter speech,"" where hate speech is referenced to resist oppression / discrimination",post was restored,,8,"The Oversight Board has overturned Meta's original decision to remove a Facebook post from an Indigenous North American artist that was removed under Facebook's Hate Speech Community Standard. The Board found that the content is covered by allowances to the Hate Speech policy as it is intended to raise awareness of historic crimes against Indigenous people in North America.

About the case

In August 2021, a Facebook user posted a picture of a wampum belt, along with an accompanying text description in English. A wampum belt is a North American Indigenous art form in which shells are woven together to form images, recording stories and agreements. This belt includes a series of depictions which the user says were inspired by ""the Kamloops story"", a reference to the May 2021 discovery of unmarked graves at a former residential school for Indigenous children in British Columbia, Canada.

The text provides the artwork's title, ""Kill the Indian/ Save the Man"", and identifies the user as its creator. The user describes the series of images depicted on the belt: ""Theft of the Innocent, Evil Posing as Saviours, Residential School / Concentration Camp, Waiting for Discovery, Bring Our Children Home"". In the post, the user describes the meaning of their artwork as well as the history of wampum belts and their purpose as a means of education. The user states that the belt was not easy to create and that it was emotional to tell the story of what happened at Kamloops. They apologise for any pain the art causes survivors of Kamloops, noting that their ""sole purpose is to bring awareness to this horrific story"".

Meta's automated systems identified the content as potentially violating Facebook's Hate Speech Community Standard the day after it was posted. A human reviewer assessed the content as violating and removed it that same day. The user appealed against that decision to Meta prompting a second human review, which also assessed the content as violating. At the time of removal, the content had been viewed over 4,000 times, and shared over 50 times. No users reported the content.

As a result of the Board selecting this case, Meta identified its removal as an ""enforcement error"" and restored the content on 27 August. However, Meta did not notify the user of the restoration until 30 September – two days after the Board asked Meta for the contents of its messaging to the user. Meta explained that the late messaging was a result of human error.",Hate Speech,50,https://oversightboard.com/decision/FB-L1LANIA7/,17,August 2021
Ayahuasca Brew,Discussing Ayahuasca,https://oversightboard.com/decision/IG-0U6FLA5B/,"An Instagram post discussing the benefits of ayahuasca as ""medicine"" was removed.",An account on Instagram posted a photo of a dark brown liquid in a jar that was described as ayahuasca with a caption describing its benefits.,Regulated Goods,July,2021,7,"Removed the post becasue it encouraged the use of ayahuasca. It was described with a ""heart emoji, referred to as 'medicine' and stated 'it can help you.'""",overturned,did not violate Insta community guidelines – only cover the sale / purchase of illegal / prescription drugs,post was restored,Meta trying to apply FB CS to Instagram without transparently telling users it is doing so,7,"The Oversight Board has overturned Meta's decision to remove a post discussing the plant-based brew ayahuasca. The Board found that the post did not violate Instagram's Community Guidelines as they were articulated at the time. Meta's human rights responsibilities also supported restoring the content. The Board recommended that Meta change its rules to allow users to discuss the traditional or religious uses of non-medical drugs in a positive way.

About the case

In July 2021, an Instagram account for a spiritual school based in Brazil posted a picture of a dark brown liquid in a jar and two bottles, described as ayahuasca in the accompanying text in Portuguese. Ayahuasca is a plant-based brew with psychoactive properties that has religious and ceremonial uses including among Indigenous groups in South America. The text states that ""AYAHUASCA IS FOR THOSE WHO HAVE THE COURAGE TO FACE THEMSELVES"" and includes statements that ayahuasca is for those who want to ""correct themselves"", ""enlighten"", ""overcome fear"" and ""break free"".

The post was flagged for review by Meta's automated systems because it had received around 4,000 views and was ""trending"". It was then reviewed by a human moderator and removed.",Regulated Goods,75,https://oversightboard.com/decision/IG-0U6FLA5B/,16,July 2021
Asking for Adderall,How to get Adderall from a doctor?,https://oversightboard.com/decision/FB-Q72FD6YL/,A post asking for advice on talking to a doctor about Adderall was removed.,A post in a private group for adults with ADHD asked how to approach talking to a doctor about specific medications. Comments from group members provided advice on how to explain the situation to a doctor.,Regulated Goods,June,2021,6,Removed the post because it violated FB restricted goods and services CS.,overturned,the CS does not prohibit content that seeks advice on pharmaceutical drugs in the context of medical conditions – there was no direct connection between the content and the possibility of harm,post was restored,"Meta's removal of the post generated a strike against the user, resulted in account being restricted for 30 days. This was not reversed before end of period.",16,"The Oversight Board has overturned Meta's original decision to remove a Facebook post that asked for advice on how to talk to a doctor about the prescription medication Adderall ®. The Board did not find any direct or immediate connection between the content and the possibility of harm.

About the case

In June 2021, a Facebook user in the United States posted in a private group that claims to be for adults with attention deficit hyperactivity disorder (ADHD). The user identifies themselves as someone with ADHD and asks the group how to approach talking to a doctor about specific medication. The user states that they were given a Xanax prescription but that the medication Adderall has worked for them in the past, while other medications ""zombie me out"". They are concerned about presenting as someone with drug-seeking behaviour if they directly ask their doctor for a prescription. The post had comments from group members providing advice on how to explain the situation to a doctor.

In August 2021, Meta removed the content under Facebook's Restricted Goods and Services Community Standard. Following the removal, Meta restricted the user's account for 30 days. As a result of the Board selecting this case, Meta identified its removal as an ""enforcement error"" and restored the content.",Regulated Goods,50,https://oversightboard.com/decision/FB-Q72FD6YL/,14,June 2021
